timestamp,event,performance,seat_name,price,id,note
"2026-08-11 15:03:44","disappear","8月23日","親子・女性ｴﾘｱ","12000","RTK_1786428079_pI0hcaFD","掲載30秒"
"2026-08-11 15:08:43","appear","8月23日","指定席","12000","RTK_1786428255_rdSeK5ZL",""
"2026-08-11 15:08:46","disappear","8月23日","指定席","12000","RTK_1786428255_rdSeK5ZL","掲載3秒"
"2026-08-11 15:09:17","appear","8月23日","指定席","12000","RTK_1786428096_cplNMXyj",""
"2026-08-11 15:09:46","disappear","8月23日","指定席","12000","RTK_1786428096_cplNMXyj","掲載30秒"
"2026-08-11 15:12:08","appear","8月22日","指定席","12000","RTK_1786377956_Q8jBj9bO",""
"2026-08-11 15:12:49","appear","8月22日","見切れ席","9900","RTK_1786428625_AO4GYHfu",""
"2026-08-11 15:12:51","disappear","8月22日","指定席","12000","RTK_1786377956_Q8jBj9bO","掲載43秒"
"2026-08-11 15:13:06","disappear","8月22日","見切れ席","9900","RTK_1786428625_AO4GYHfu","掲載17秒"
"2026-08-11 15:13:20","appear","8月22日","指定席","12000","RTK_1786377956_Q8jBj9bO",""
"2026-08-11 15:13:27","disappear","8月22日","指定席","12000","RTK_1786377956_Q8jBj9bO","掲載7秒"
"2026-08-11 15:15:22","appear","8月22日","親子・女性ｴﾘｱ","12000","RTK_1786428467_OtshSdpQ",""
"2026-08-11 15:15:35","appear","8月22日","見切れ席","9900","RTK_1786293923_ia16Hvwp",""
"2026-08-11 15:15:56","disappear","8月22日","見切れ席","9900","RTK_1786293923_ia16Hvwp","掲載21秒"
"2026-08-11 15:16:08","disappear","8月22日","親子・女性ｴﾘｱ","12000","RTK_1786428467_OtshSdpQ","掲載46秒"
"2026-08-11 15:20:53","appear","8月23日","注釈付指定席","11000","RTK_1786428980_VYQHRTpF",""
"2026-08-11 15:21:01","disappear","8月23日","注釈付指定席","11000","RTK_1786428980_VYQHRTpF","掲載8秒"
"2026-08-11 15:21:24","appear","8月22日","注釈付指定席","11000","RTK_1786429205_8wx5eaxY",""
"2026-08-11 15:21:32","appear","8月23日","注釈付指定席","11000","RTK_1786428980_VYQHRTpF",""
"2026-08-11 15:21:37","disappear","8月23日","注釈付指定席","11000","RTK_1786428980_VYQHRTpF","掲載5秒"
"2026-08-11 15:22:00","disappear","8月22日","注釈付指定席","11000","RTK_1786429205_8wx5eaxY","掲載36秒"
"2026-08-11 15:26:59","appear","8月22日","指定席","12000","RTK_1786428778_lwY3UmSe",""
"2026-08-11 15:27:10","disappear","8月22日","指定席","12000","RTK_1786428778_lwY3UmSe","掲載11秒"
"2026-08-11 15:30:54","appear","8月23日","指定席","12000","RTK_1786429293_Tcl4jBGU",""
"2026-08-11 15:31:07","disappear","8月23日","指定席","12000","RTK_1786429293_Tcl4jBGU","掲載13秒"
"2026-08-11 15:31:55","appear","8月22日","親子・女性ｴﾘｱ","12000","RTK_1786428467_OtshSdpQ",""
"2026-08-11 15:32:12","disappear","8月22日","親子・女性ｴﾘｱ","12000","RTK_1786428467_OtshSdpQ","掲載17秒"
